temporal_type,temporal_value,variable,method,valid_land_cells,total_grid_cells,coverage_percent,mean,median,std,min,max,range,q25,q75,iqr,outlier_count_iqr,physics_compliant,data_quality_score,coefficient_variation
annual,2015,spatial_extent_meters,Combinatorial Hybridized Multi-Modal Interpolation,2391068,5912021,40.444172982470796,0.4921086583865856,0.462408542684251,0.1715930883311222,0.1,1.254685465529417,1.154685465529417,0.3808295928069119,0.5741887777967575,0.19335918498984556,79273,True,0.9834230979629187,0.3486894315042185
annual,2015,duration_hours,Combinatorial Hybridized Multi-Modal Interpolation,2391068,5912021,40.444172982470796,438.45216833495664,348.91688479448214,307.7885377874731,1.0,1923.5551489609065,1922.5551489609065,211.01667597748667,610.935866881525,399.9191909040384,47994,True,0.9899638989773607,0.7019888599395345
annual,2015,intensity_percentile,Combinatorial Hybridized Multi-Modal Interpolation,2391068,5912021,40.444172982470796,0.5482511699226217,0.5453749800354398,0.019740784679532605,0.4787032785323883,0.6085320744531425,0.1298287959207542,0.5354981835397894,0.5571181124262992,0.021619928886509765,129084,True,0.973007041205018,0.03600682636449048
annual,2016,spatial_extent_meters,Combinatorial Hybridized Multi-Modal Interpolation,2391068,5912021,40.444172982470796,0.43334121174578105,0.41174371780664387,0.1536000169155824,0.1,1.31109496008051,1.2110949600805099,0.34791777415368585,0.48790204952586436,0.1399842753721785,181978,True,0.9619462934554768,0.3544551331658056
annual,2016,duration_hours,Combinatorial Hybridized Multi-Modal Interpolation,2391068,5912021,40.444172982470796,350.22892847960276,273.942257938339,283.25282847505866,1.0,1851.4721721336246,1850.4721721336246,153.29429587153936,471.6357399379669,318.3414440664275,94844,True,0.9801670215987166,0.8087647976559288
annual,2016,intensity_percentile,Combinatorial Hybridized Multi-Modal Interpolation,2391068,5912021,40.444172982470796,0.5520495572506909,0.5528986814038568,0.018008315627580637,0.47403366490629395,0.6068582050942268,0.13282454018793288,0.5400324502515277,0.5637735087810753,0.023741058529547665,35641,True,0.9925470542870383,0.032620831574008295
annual,2017,spatial_extent_meters,Combinatorial Hybridized Multi-Modal Interpolation,2391068,5912021,40.444172982470796,0.5115727825731446,0.44107921209201706,0.33606759073659165,0.1,3.4138499378816256,3.3138499378816255,0.3500692481303562,0.6113362135829961,0.26126696545263983,105892,True,0.977856756896918,0.6569301616208261
annual,2017,duration_hours,Combinatorial Hybridized Multi-Modal Interpolation,2391068,5912021,40.444172982470796,413.54713901810254,321.9707639707076,326.11478262749193,1.0,1767.900717075528,1766.900717075528,166.5657842968505,606.9069240954216,440.3411397985711,40908,True,0.9914456636114071,0.788579467389851
annual,2017,intensity_percentile,Combinatorial Hybridized Multi-Modal Interpolation,2391068,5912021,40.444172982470796,0.5509321224789162,0.5500495898637251,0.022422827496933438,0.4625040194739583,0.6228063452566908,0.16030232578273246,0.5359338558953268,0.5643006114675297,0.028366755572202917,39723,True,0.9916934608300558,0.0406998005417474
annual,2018,spatial_extent_meters,Combinatorial Hybridized Multi-Modal Interpolation,2391068,5912021,40.444172982470796,0.5376119691647666,0.44014716648740293,0.3724457020773168,0.1,4.198914515992254,4.098914515992254,0.36521455807362635,0.6187185295065218,0.2535039714328955,112892,True,0.9763929758584866,0.6927779205808011
annual,2018,duration_hours,Combinatorial Hybridized Multi-Modal Interpolation,2391068,5912021,40.444172982470796,434.59512224679486,303.7088750808217,357.0129798089316,1.0,1890.648037162852,1889.648037162852,165.3878452327906,642.8487631169675,477.46091788417687,53363,True,0.9888411789208839,0.8214840929719261
annual,2018,intensity_percentile,Combinatorial Hybridized Multi-Modal Interpolation,2391068,5912021,40.444172982470796,0.541113999450454,0.5429536459777895,0.024770073294749846,0.4666997190492562,0.617877900004715,0.15117818095545876,0.5275621173530982,0.5583534297355819,0.03079131238248367,54789,True,0.9885429858121977,0.04577607180724561
annual,2019,spatial_extent_meters,Combinatorial Hybridized Multi-Modal Interpolation,2391068,5912021,40.444172982470796,0.5726247630265139,0.44522685787263316,0.4318654020772486,0.1,4.45094646716573,4.3509464671657305,0.3629382827112749,0.6488037975905193,0.28586551487924444,176479,True,0.9630961980169531,0.7541856901100384
annual,2019,duration_hours,Combinatorial Hybridized Multi-Modal Interpolation,2391068,5912021,40.444172982470796,471.37976139795745,349.3075592874796,383.5501711860849,1.0,2018.9270574580487,2017.9270574580487,172.62079963417347,701.8076984932079,529.1868988590345,27932,True,0.994159095433505,0.8136755172699845
annual,2019,intensity_percentile,Combinatorial Hybridized Multi-Modal Interpolation,2391068,5912021,40.444172982470796,0.551434962234624,0.5533118035978996,0.021699509607816657,0.46598989666092394,0.6431552454106598,0.17716534874973588,0.5372168366196882,0.5665886197158145,0.029371783096126314,39181,True,0.9918067993047458,0.03935098623395586
annual,2020,spatial_extent_meters,Combinatorial Hybridized Multi-Modal Interpolation,2391068,5912021,40.444172982470796,0.44900884316856543,0.427366489610008,0.13422704821536421,0.1,1.0269520037494055,0.9269520037494056,0.37262456169986913,0.5235639296989703,0.15093936799910113,70520,True,0.9852534515956887,0.29894076755404375
annual,2020,duration_hours,Combinatorial Hybridized Multi-Modal Interpolation,2391068,5912021,40.444172982470796,388.60989320194113,312.955369780075,278.58560542360283,1.0,1572.8196539500666,1571.8196539500666,172.35653139826147,567.3083529598939,394.9518215616324,31697,True,0.9933717903464059,0.7168772856712524
