temporal_type,temporal_value,variable,method,valid_land_cells,total_grid_cells,coverage_percent,mean,median,std,min,max,range,q25,q75,iqr,outlier_count_iqr,physics_compliant,data_quality_score,coefficient_variation
annual,2015,spatial_extent_meters,Combinatorial Hybridized Multi-Modal Interpolation,2391068,5912021,40.444172982470796,1.5730965405291875,1.6080569944083756,0.5769621493347018,0.1,3.13782916530252,3.03782916530252,1.251395534796508,1.9358350225329026,0.6844394877363946,38487,True,0.9919519227391275,0.3667684305888897
annual,2015,duration_hours,Combinatorial Hybridized Multi-Modal Interpolation,2391068,5912021,40.444172982470796,604.3778536787906,716.191257620816,455.9483905718172,1.0,1582.1810902446887,1581.1810902446887,121.72730934691208,904.6108093856974,782.8835000387853,0,True,1.0,0.7544094936578212
annual,2015,intensity_percentile,Combinatorial Hybridized Multi-Modal Interpolation,2391068,5912021,40.444172982470796,0.4331519225287131,0.43412350283855045,0.05260999027321403,0.34008830807916723,0.5604695022759465,0.22038119419677926,0.38566125256492967,0.4769714263837308,0.09131017381880113,0,True,1.0,0.12145851729360979
annual,2016,spatial_extent_meters,Combinatorial Hybridized Multi-Modal Interpolation,2391068,5912021,40.444172982470796,1.507738829676987,1.543724979898308,0.6412233325513644,0.1,3.133434505507133,3.033434505507133,1.1534515951625808,1.9227097545100267,0.7692581593474459,47,True,0.9999901717558848,0.4252880670909948
annual,2016,duration_hours,Combinatorial Hybridized Multi-Modal Interpolation,2391068,5912021,40.444172982470796,560.9978976948652,702.1242411807398,454.3133605669089,1.0,1462.5664865242059,1461.5664865242059,1.0,953.0095522995582,952.0095522995582,0,True,1.0,0.8098307719755778
annual,2016,intensity_percentile,Combinatorial Hybridized Multi-Modal Interpolation,2391068,5912021,40.444172982470796,0.4235569956517755,0.42345425040466833,0.0431635457335935,0.3398499576726135,0.5328919480284972,0.19304199035588365,0.387397047833817,0.4571283234674299,0.06973127563361287,0,True,1.0,0.10190729034512304
annual,2017,spatial_extent_meters,Combinatorial Hybridized Multi-Modal Interpolation,2391068,5912021,40.444172982470796,1.4533946197862173,1.4780258929071999,0.6737473371073961,0.1,3.1263834255579406,3.0263834255579405,1.0634809832943874,1.9094676105849298,0.8459866272905423,0,True,1.0,0.4635680688060473
annual,2017,duration_hours,Combinatorial Hybridized Multi-Modal Interpolation,2391068,5912021,40.444172982470796,524.417080428197,541.0567411562445,473.51438319848654,1.0,1588.0237097286717,1587.0237097286717,1.0,949.5686939333197,948.5686939333197,0,True,1.0,0.9029347076412015
annual,2017,intensity_percentile,Combinatorial Hybridized Multi-Modal Interpolation,2391068,5912021,40.444172982470796,0.42650079284809356,0.4244885657440355,0.04388231965600125,0.34629500120933765,0.5444402458585027,0.19814524464916505,0.38745214433130154,0.46278939091360616,0.07533724658230462,0,True,1.0,0.1028891865896971
annual,2018,spatial_extent_meters,Combinatorial Hybridized Multi-Modal Interpolation,2391068,5912021,40.444172982470796,1.5681732364822845,1.5724616956460507,0.6269303978166897,0.1,3.0296180493041187,2.9296180493041186,1.1839341382581776,1.9997367130168882,0.8158025747587105,0,True,1.0,0.3997838907281798
annual,2018,duration_hours,Combinatorial Hybridized Multi-Modal Interpolation,2391068,5912021,40.444172982470796,686.0585035142714,744.4942767103751,525.9593159455275,1.0,2079.091456995077,2078.091456995077,123.99307344810406,1144.9335904202567,1020.9405169721526,0,True,1.0,0.7666391616040752
annual,2018,intensity_percentile,Combinatorial Hybridized Multi-Modal Interpolation,2391068,5912021,40.444172982470796,0.4283661605706997,0.42670174986178344,0.047012009158756043,0.34171241038235695,0.54132209150116,0.199609681118803,0.3872666559986282,0.46514556117316774,0.07787890517453955,0,True,1.0,0.10974725243498067
annual,2019,spatial_extent_meters,Combinatorial Hybridized Multi-Modal Interpolation,2391068,5912021,40.444172982470796,1.6337148277226368,1.6492963537693202,0.5492013077846928,0.15345054322206722,3.1762810855825556,3.0228305423604884,1.313227518327755,2.003764568702138,0.6905370503743831,12244,True,0.9974396378522067,0.3361671807498176
annual,2019,duration_hours,Combinatorial Hybridized Multi-Modal Interpolation,2391068,5912021,40.444172982470796,778.9068557738332,864.4752766516933,455.7725302867979,1.0,1900.2830068826902,1899.2830068826902,395.45226967489543,1112.3366972088477,716.8844275339522,0,True,1.0,0.585143816501646
annual,2019,intensity_percentile,Combinatorial Hybridized Multi-Modal Interpolation,2391068,5912021,40.444172982470796,0.4230138254890503,0.4222261014819616,0.04527508881862995,0.33899375650825714,0.5381431274427491,0.19914937093449192,0.38522733720288804,0.45841900285749837,0.07319166565461033,0,True,1.0,0.10702980869782917
annual,2020,spatial_extent_meters,Combinatorial Hybridized Multi-Modal Interpolation,2391068,5912021,40.444172982470796,1.5401064412420906,1.615330821931165,0.6116553739894268,0.1,2.9985360380494046,2.8985360380494045,1.1851553667005372,1.9821860684015902,0.797030701701053,0,True,1.0,0.3971513640941134
annual,2020,duration_hours,Combinatorial Hybridized Multi-Modal Interpolation,2391068,5912021,40.444172982470796,684.1635759581832,850.0223161411284,534.1270511267774,1.0,1825.5787887003257,1824.5787887003257,8.568604134864506,1101.843406693782,1093.2748025589176,0,True,1.0,0.7807008000663043
annual,2020,intensity_percentile,Combinatorial Hybridized Multi-Modal Interpolation,2391068,5912021,40.444172982470796,0.4330580547489156,0.4339191328467351,0.044705918087337024,0.35245292427045355,0.5444570859991483,0.19200416172869478,0.39261395162869295,0.469083050809763,0.07646909918107003,0,True,1.0,0.1032330829483295
