temporal_type,temporal_value,variable,method,valid_land_cells,total_grid_cells,coverage_percent,mean,median,std,min,max,range,q25,q75,iqr,outlier_count_iqr,physics_compliant,data_quality_score,coefficient_variation
monthly,January,spatial_extent_meters,Combinatorial Hybridized Multi-Modal Interpolation,2391068,5912021,40.444172982470796,1.5523897963917839,1.5786598650334183,0.36021229794351955,0.7662326350455566,2.5997785608036117,1.833545925758055,1.2865396054452873,1.8249312870512413,0.538391681605954,0,True,1.0,0.23203727490399653
monthly,January,duration_hours,Combinatorial Hybridized Multi-Modal Interpolation,2391068,5912021,40.444172982470796,460.49245105911035,425.6322244215055,312.9584385910349,1.0,1330.8189256824307,1329.8189256824307,229.87762422376508,653.1634720629461,423.285847839181,19048,True,0.9960168426828514,0.6796168707461885
monthly,January,intensity_percentile,Combinatorial Hybridized Multi-Modal Interpolation,2391068,5912021,40.444172982470796,0.4262910566760204,0.4269616367413632,0.07232282015269535,0.25849355103116695,0.6020600917716709,0.3435665407405039,0.36807051694943516,0.4814756158690356,0.11340509891960043,0,True,1.0,0.16965596397125549
monthly,February,spatial_extent_meters,Combinatorial Hybridized Multi-Modal Interpolation,2391068,5912021,40.444172982470796,1.5873727435654124,1.5944108706299183,0.2755054957786562,1.0515179338837342,2.2768191384081584,1.2253012045244243,1.3553247841933844,1.8175135508114826,0.46218876661809816,0,True,1.0,0.17356068188486137
monthly,February,duration_hours,Combinatorial Hybridized Multi-Modal Interpolation,2391068,5912021,40.444172982470796,499.38420205038193,523.616448553621,308.1481438076522,1.0,1746.5247739105266,1745.5247739105266,275.2561564953819,727.6791041767315,452.42294768134957,1548,True,0.9996762952789298,0.6170562515643291
monthly,February,intensity_percentile,Combinatorial Hybridized Multi-Modal Interpolation,2391068,5912021,40.444172982470796,0.43595853559936054,0.42166535270945454,0.08359044973754598,0.26459502597915197,0.6536544342763081,0.38905940829715613,0.370750790944037,0.4967701899126872,0.12601939896865016,0,True,1.0,0.1917394497681412
monthly,March,spatial_extent_meters,Combinatorial Hybridized Multi-Modal Interpolation,2391068,5912021,40.444172982470796,1.7056921579526605,1.707651797792579,0.3279799071177887,0.9236790952793115,2.586202606713698,1.6625235114343866,1.452744176695635,1.9589900507904616,0.5062458740948266,0,True,1.0,0.19228552209061125
monthly,March,duration_hours,Combinatorial Hybridized Multi-Modal Interpolation,2391068,5912021,40.444172982470796,517.2785840124135,540.9706387812985,307.2503712829717,1.0,1229.0269016229286,1228.0269016229286,317.4308134108942,746.1160973684237,428.68528395752946,0,True,1.0,0.593974660423209
monthly,March,intensity_percentile,Combinatorial Hybridized Multi-Modal Interpolation,2391068,5912021,40.444172982470796,0.4318278965085761,0.41984321924623114,0.08135711228576363,0.27164549209713584,0.6273847591430481,0.3557392670459123,0.36515841427668017,0.49730815015933105,0.1321497358826509,0,True,1.0,0.1884017057340525
monthly,April,spatial_extent_meters,Combinatorial Hybridized Multi-Modal Interpolation,2391068,5912021,40.444172982470796,1.7534287542209934,1.7990712404487343,0.37442372003269614,0.9195151750467416,2.628143187971968,1.7086280129252263,1.4635678986511746,2.0111935147079216,0.547625616056747,0,True,1.0,0.2135380289226771
